Year,Month,Temperature(℃)
2014,Jan,15.19
2014,Feb,14.93
2014,Mar,15.06
2014,Apr,15.09
2014,May,15.1
2014,Jun,15.04
2014,Jul,14.97
2014,Aug,14.98
2014,Sep,14.99
2014,Oct,14.99
2014,Nov,14.97
2014,Dec,14.99
2015,Jan,15.27
2015,Feb,15.36
2015,Mar,15.43
2015,Apr,15.33
2015,May,15.26
2015,Jun,15.22
2015,Jul,15.16
2015,Aug,15.13
2015,Sep,15.13
2015,Oct,15.16
2015,Nov,15.19
2015,Dec,15.23
2016,Jan,15.86
2016,Feb,16.14
2016,Mar,16.21
2016,Apr,16.11
2016,May,15.94
2016,Jun,15.77
2016,Jul,15.65
2016,Aug,15.62
2016,Sep,15.59
2016,Oct,15.55
2016,Nov,15.55
2016,Dec,15.54
2017,Jan,15.7
2017,Feb,15.77
2017,Mar,15.8
2017,Apr,15.68
2017,May,15.59
2017,Jun,15.46
2017,Jul,15.39
2017,Aug,15.35
2017,Sep,15.33
2017,Oct,15.33
2017,Nov,15.34
2017,Dec,15.37
2018,Jan,15.32
2018,Feb,15.41
2018,Mar,15.4
2018,Apr,15.39
2018,May,15.33
2018,Jun,15.28
2018,Jul,15.26
2018,Aug,15.23
2018,Sep,15.21
2018,Oct,15.24
2018,Nov,15.22
2018,Dec,15.23
2019,Jan,15.34
2019,Feb,15.3
2019,Mar,15.53
2019,Apr,15.56
2019,May,15.49
2019,Jun,15.42
2019,Jul,15.37
2019,Aug,15.35
2019,Sep,15.34
2019,Oct,15.37
2019,Nov,15.37
2019,Dec,15.41
2020,Jan,15.85
2020,Feb,15.96
2020,Mar,15.9
2020,Apr,15.86
2020,May,15.77
2020,Jun,15.68
2020,Jul,15.6
2020,Aug,15.54
2020,Sep,15.55
2020,Oct,15.53
2020,Nov,15.57
2020,Dec,15.55
2021,Jan,15.37
2021,Feb,15.09
2021,Mar,15.22
2021,Apr,15.2
2021,May,15.19
2021,Jun,15.18
2021,Jul,15.18
2021,Aug,15.19
2021,Sep,15.21
2021,Oct,15.25
2021,Nov,15.27
2021,Dec,15.28
2022,Jan,15.4
2022,Feb,15.39
2022,Mar,15.56
2022,Apr,15.51
2022,May,15.43
2022,Jun,15.41
2022,Jul,15.39
2022,Aug,15.37
2022,Sep,15.35
2022,Oct,15.36
2022,Nov,15.32
2022,Dec,15.3
2023,Jan,15.3
2023,Feb,15.47
2023,Mar,15.68
2023,Apr,15.55
2023,May,15.47
2023,Jun,15.44
2023,Jul,15.44
2023,Aug,15.47
2023,Sep,15.55
2023,Oct,15.6
2023,Nov,15.66
2023,Dec,15.7
2024,Jan,15.77
2024,Feb,15.95
2024,Mar,15.99
2024,Apr,15.94
2024,May,15.86
2024,Jun,15.83
2024,Jul,15.8
